Date/Time, Time Diff, Byte Counter, Byte Diff Counter, Packet Counter, Header Info, 
2024-04-08 23:32:17.736682, 0:00:00.000016, 14393, 189, 216, SLAVE_2, 
2024-04-08 23:32:17.736705, 0:00:00.000023, 14401, 8, 217, MASTER_1, 
2024-04-08 23:32:17.736724, 0:00:00.000018, 14466, 65, 218, SLAVE_1, 
2024-04-08 23:32:17.736739, 0:00:00.000015, 14474, 8, 219, MASTER_2, 
2024-04-08 23:32:17.736755, 0:00:00.000016, 14663, 189, 220, SLAVE_2, 
2024-04-08 23:32:17.736769, 0:00:00.000014, 14671, 8, 221, MASTER_1, 
2024-04-08 23:32:17.736784, 0:00:00.000015, 14736, 65, 222, SLAVE_1, 
2024-04-08 23:32:17.736799, 0:00:00.000015, 14744, 8, 223, MASTER_2, 
2024-04-08 23:32:17.736814, 0:00:00.000015, 14933, 189, 224, SLAVE_2, 
2024-04-08 23:32:17.736828, 0:00:00.000015, 14941, 8, 225, MASTER_1, 
2024-04-08 23:32:17.736844, 0:00:00.000016, 15006, 65, 226, SLAVE_1, 
2024-04-08 23:32:17.736861, 0:00:00.000016, 15014, 8, 227, MASTER_2, 
2024-04-08 23:32:17.736878, 0:00:00.000018, 15203, 189, 228, SLAVE_2, 
2024-04-08 23:32:17.736894, 0:00:00.000016, 15211, 8, 229, MASTER_1, 
2024-04-08 23:32:17.736910, 0:00:00.000016, 15276, 65, 230, SLAVE_1, 
2024-04-08 23:32:17.736928, 0:00:00.000017, 15284, 8, 231, MASTER_2, 
2024-04-08 23:32:17.736946, 0:00:00.000019, 15473, 189, 232, SLAVE_2, 
2024-04-08 23:32:17.736962, 0:00:00.000015, 15481, 8, 233, MASTER_1, 
2024-04-08 23:32:17.737550, 0:00:00.000592, 15546, 65, 234, SLAVE_1, 
2024-04-08 23:32:17.737567, 0:00:00.000013, 15554, 8, 235, MASTER_2, 
2024-04-08 23:32:17.737578, 0:00:00.000010, 15743, 189, 236, SLAVE_2, 
2024-04-08 23:32:17.737587, 0:00:00.000008, 15751, 8, 237, MASTER_1, 
2024-04-08 23:32:17.737595, 0:00:00.000009, 15816, 65, 238, SLAVE_1, 
2024-04-08 23:32:17.737603, 0:00:00.000007, 15824, 8, 239, MASTER_2, 
2024-04-08 23:32:17.737610, 0:00:00.000008, 16013, 189, 240, SLAVE_2, 
2024-04-08 23:32:17.737618, 0:00:00.000007, 16021, 8, 241, MASTER_1, 
2024-04-08 23:32:17.737625, 0:00:00.000008, 16086, 65, 242, SLAVE_1, 
